Date,Temperature,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather,Weather Description,Weather Icon,Rain,Snow
2022-11-02 08:00:00-07:00,36.41,1011,94,3.0,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-02 09:00:00-07:00,36.79,1012,94,5.01,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-02 10:00:00-07:00,40.08,1013,90,3.0,99,75,Clouds,broken clouds,04d,0.0,0.0
2022-11-02 11:00:00-07:00,43.97,1014,81,4.0,90,93,Clouds,overcast clouds,04d,0.0,0.0
2022-11-02 12:00:00-07:00,46.6,1014,72,4.0,308,96,Clouds,overcast clouds,04d,0.0,0.0
2022-11-02 13:00:00-07:00,48.11,1015,70,5.01,219,56,Clouds,broken clouds,04d,0.0,0.0
2022-11-02 14:00:00-07:00,48.79,1015,67,5.99,307,42,Clouds,scattered clouds,03d,0.0,0.0
2022-11-02 15:00:00-07:00,49.3,1015,65,11.01,300,35,Clouds,scattered clouds,03d,0.0,0.0
2022-11-02 16:00:00-07:00,49.01,1016,64,11.01,290,30,Clouds,scattered clouds,03d,0.0,0.0
2022-11-02 17:00:00-07:00,46.89,1016,69,13.0,290,25,Clouds,scattered clouds,03d,0.0,0.0
2022-11-02 18:00:00-07:00,43.77,1017,79,10.0,290,4,Clear,clear sky,01n,0.0,0.0
2022-11-02 19:00:00-07:00,40.8,1017,85,5.01,310,7,Clear,clear sky,01n,0.0,0.0
2022-11-02 20:00:00-07:00,39.43,1019,89,3.0,325,9,Clear,clear sky,01n,0.0,0.0
2022-11-02 21:00:00-07:00,38.57,1019,89,3.0,90,18,Clouds,few clouds,02n,0.0,0.0
2022-11-02 22:00:00-07:00,38.16,1019,88,4.0,70,34,Clouds,scattered clouds,03n,0.0,0.0
2022-11-02 23:00:00-07:00,37.38,1020,89,5.01,80,44,Clouds,scattered clouds,03n,0.0,0.0
2022-11-03 00:00:00-07:00,37.06,1020,90,4.0,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 01:00:00-07:00,36.88,1021,89,5.01,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 02:00:00-07:00,36.25,1021,89,5.01,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 03:00:00-07:00,36.32,1021,90,3.0,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 04:00:00-07:00,36.72,1022,91,10.0,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 05:00:00-07:00,36.95,1019,90,10.0,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 06:00:00-07:00,37.36,1022,89,11.01,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 07:00:00-07:00,38.14,1022,88,11.01,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 08:00:00-07:00,38.39,1022,89,10.0,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-03 09:00:00-07:00,39.25,1022,88,11.01,90,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-03 10:00:00-07:00,39.83,1022,89,11.99,100,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-03 11:00:00-07:00,40.05,1021,90,10.36,100,100,Rain,light rain,10d,0.65,0.0
2022-11-03 12:00:00-07:00,39.9,1021,94,11.5,100,100,Rain,moderate rain,10d,1.94,0.0
2022-11-03 13:00:00-07:00,40.03,1019,94,10.36,80,100,Rain,light rain,10d,0.25,0.0
2022-11-03 14:00:00-07:00,40.55,1019,95,11.5,110,100,Rain,moderate rain,10d,2.59,0.0
2022-11-03 15:00:00-07:00,40.14,1017,95,8.05,90,100,Mist,mist,50d,2.73,0.0
2022-11-03 16:00:00-07:00,39.07,1018,93,8.01,120,100,Rain,moderate rain,10d,2.05,0.0
2022-11-03 17:00:00-07:00,37.44,1017,94,13.0,90,100,Rain,moderate rain,10d,1.54,0.0
2022-11-03 18:00:00-07:00,36.73,1017,95,12.66,80,100,Rain,moderate rain,10n,1.94,0.0
2022-11-03 19:00:00-07:00,34.97,1015,95,15.01,80,100,Rain,moderate rain,10n,1.33,0.0
2022-11-03 20:00:00-07:00,35.58,1014,95,13.0,80,100,Rain,light rain,10n,0.65,0.0
2022-11-03 21:00:00-07:00,36.0,1013,96,11.99,70,100,Rain,light rain,10n,0.39,0.0
2022-11-03 22:00:00-07:00,36.5,1012,96,15.01,70,100,Rain,light rain,10n,0.6,0.0
2022-11-03 23:00:00-07:00,36.5,1011,95,15.01,70,100,Rain,moderate rain,10n,2.37,0.0
2022-11-04 00:00:00-07:00,37.58,1011,95,15.01,60,100,Rain,moderate rain,10n,2.99,0.0
2022-11-04 01:00:00-07:00,37.36,1009,95,13.0,60,100,Rain,moderate rain,10n,2.51,0.0
2022-11-04 02:00:00-07:00,37.6,1009,95,12.66,60,100,Mist,mist,50n,2.37,0.0
2022-11-04 03:00:00-07:00,37.8,1008,95,13.0,60,100,Rain,moderate rain,10n,2.05,0.0
2022-11-04 04:00:00-07:00,37.99,1007,95,10.0,50,100,Rain,moderate rain,10n,2.37,0.0
2022-11-04 05:00:00-07:00,38.26,1006,95,11.01,60,100,Rain,moderate rain,10n,2.73,0.0
2022-11-04 06:00:00-07:00,38.77,1005,95,10.36,70,100,Rain,moderate rain,10n,2.37,0.0
2022-11-04 07:00:00-07:00,39.16,1004,95,10.0,60,100,Rain,moderate rain,10n,2.37,0.0
2022-11-04 08:00:00-07:00,39.13,1003,95,8.99,60,100,Rain,moderate rain,10n,2.18,0.0
2022-11-04 09:00:00-07:00,39.72,1002,95,8.99,60,100,Rain,moderate rain,10d,1.54,0.0
2022-11-04 10:00:00-07:00,39.99,1002,96,11.01,60,100,Rain,moderate rain,10d,2.05,0.0
2022-11-04 11:00:00-07:00,40.77,1001,95,10.0,70,100,Rain,light rain,10d,0.75,0.0
2022-11-04 12:00:00-07:00,41.52,1000,95,8.01,70,100,Rain,light rain,10d,0.87,0.0
2022-11-04 13:00:00-07:00,41.97,999,96,8.99,70,100,Rain,light rain,10d,1.0,0.0
2022-11-04 14:00:00-07:00,42.28,998,96,5.99,70,100,Rain,moderate rain,10d,1.15,0.0
2022-11-04 15:00:00-07:00,42.76,997,96,5.99,90,100,Rain,light rain,10d,0.78,0.0
2022-11-04 16:00:00-07:00,43.11,996,96,5.99,90,100,Rain,light rain,10d,0.19,0.0
2022-11-04 17:00:00-07:00,43.84,995,96,5.75,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-04 18:00:00-07:00,44.17,993,96,5.01,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-04 19:00:00-07:00,45.55,992,96,9.22,60,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-04 20:00:00-07:00,48.27,991,96,6.91,100,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-04 21:00:00-07:00,49.46,990,95,1.99,311,95,Clouds,overcast clouds,04n,0.0,0.0
2022-11-04 22:00:00-07:00,45.46,993,91,34.52,280,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-04 23:00:00-07:00,45.21,999,81,31.07,280,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-05 00:00:00-07:00,44.92,997,66,25.99,290,10,Clear,clear sky,01n,0.0,0.0
2022-11-05 01:00:00-07:00,44.65,998,65,31.0,300,5,Clear,clear sky,01n,0.0,0.0
2022-11-05 02:00:00-07:00,44.4,1000,63,28.99,300,3,Clear,clear sky,01n,0.0,0.0
2022-11-05 03:00:00-07:00,44.02,1001,63,25.01,290,2,Clear,clear sky,01n,0.0,0.0
2022-11-05 04:00:00-07:00,42.96,1002,69,23.0,280,2,Clear,clear sky,01n,0.0,0.0
2022-11-05 05:00:00-07:00,42.53,1003,73,17.0,290,2,Clear,clear sky,01n,0.0,0.0
2022-11-05 06:00:00-07:00,41.4,1004,77,17.0,290,10,Clear,clear sky,01n,0.0,0.0
2022-11-05 07:00:00-07:00,40.62,1005,79,15.99,280,9,Clear,clear sky,01n,0.0,0.0
2022-11-05 08:00:00-07:00,39.52,1005,83,13.0,280,9,Clear,clear sky,01n,0.0,0.0
2022-11-05 09:00:00-07:00,39.96,1006,83,8.99,260,11,Clouds,few clouds,02d,0.0,0.0
2022-11-05 10:00:00-07:00,43.05,1007,79,15.01,260,11,Clouds,few clouds,02d,0.0,0.0
2022-11-05 11:00:00-07:00,45.37,1007,69,15.01,290,10,Clear,clear sky,01d,0.0,0.0
2022-11-05 12:00:00-07:00,47.08,1008,62,15.99,290,9,Clear,clear sky,01d,0.0,0.0
2022-11-05 13:00:00-07:00,47.3,1008,61,11.99,280,27,Clouds,scattered clouds,03d,0.0,0.0
2022-11-05 14:00:00-07:00,48.04,1008,59,8.99,290,50,Clouds,scattered clouds,03d,0.0,0.0
2022-11-05 15:00:00-07:00,48.06,1008,60,8.01,270,38,Clouds,scattered clouds,03d,0.0,0.0
2022-11-05 16:00:00-07:00,47.37,1009,61,5.99,229,30,Clouds,scattered clouds,03d,0.0,0.0
2022-11-05 17:00:00-07:00,46.27,1009,64,5.99,235,26,Clouds,scattered clouds,03d,0.0,0.0
2022-11-05 18:00:00-07:00,42.8,1009,73,4.0,270,10,Clear,clear sky,01n,0.0,0.0
2022-11-05 19:00:00-07:00,40.69,1009,79,5.99,260,10,Clear,clear sky,01n,0.0,0.0
2022-11-05 20:00:00-07:00,38.5,1010,83,1.01,95,7,Clear,clear sky,01n,0.0,0.0
2022-11-05 21:00:00-07:00,37.99,1010,86,5.01,130,17,Clouds,few clouds,02n,0.0,0.0
2022-11-05 22:00:00-07:00,37.81,1009,87,5.99,80,34,Clouds,scattered clouds,03n,0.0,0.0
2022-11-05 23:00:00-07:00,38.84,1009,85,8.01,80,45,Clouds,scattered clouds,03n,0.0,0.0
2022-11-06 00:00:00-07:00,39.97,1009,83,11.99,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-06 01:00:00-07:00,40.46,1007,84,14.97,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-06 01:00:00-08:00,40.21,1006,87,15.01,90,100,Rain,moderate rain,10n,1.94,0.0
2022-11-06 02:00:00-08:00,40.05,1010,86,17.0,100,100,Rain,moderate rain,10n,2.05,0.0
2022-11-06 03:00:00-08:00,37.47,1007,92,23.02,100,100,Rain,moderate rain,10n,3.65,0.0
2022-11-06 04:00:00-08:00,36.79,1008,93,21.0,80,100,Rain,moderate rain,10n,3.16,0.0
2022-11-06 05:00:00-08:00,36.91,1000,92,5.99,95,100,Rain,moderate rain,10n,1.41,0.0
2022-11-06 06:00:00-08:00,36.41,999,94,19.57,100,100,Rain,light rain,10n,0.6,0.0
2022-11-06 07:00:00-08:00,36.93,1007,93,15.99,90,100,Rain,moderate rain,10n,1.33,0.0
2022-11-06 08:00:00-08:00,36.66,1006,94,15.99,100,100,Rain,moderate rain,10d,1.22,0.0
2022-11-06 09:00:00-08:00,36.55,998,94,11.99,120,100,Rain,light rain,10d,0.75,0.0
2022-11-06 10:00:00-08:00,36.95,998,94,15.01,100,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-06 11:00:00-08:00,37.17,999,96,12.66,130,100,Rain,light rain,10d,0.95,0.0
2022-11-06 12:00:00-08:00,36.12,998,95,16.11,110,100,Rain,moderate rain,10d,2.18,0.0
2022-11-06 13:00:00-08:00,34.99,999,94,15.99,100,100,Snow,snow,13d,0.0,0.65
2022-11-06 14:00:00-08:00,34.79,998,95,12.66,80,75,Rain,moderate rain,10d,1.27,0.0
2022-11-06 15:00:00-08:00,36.9,998,95,10.36,70,75,Clouds,broken clouds,04d,0.0,0.0
2022-11-06 16:00:00-08:00,38.19,998,93,8.99,70,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-06 17:00:00-08:00,36.64,998,93,10.0,70,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-06 18:00:00-08:00,35.62,999,94,8.99,70,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-06 19:00:00-08:00,35.65,998,95,13.0,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-06 20:00:00-08:00,36.27,998,94,5.99,70,100,Rain,light rain,10n,0.12,0.0
2022-11-06 21:00:00-08:00,36.27,998,95,5.99,40,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-06 22:00:00-08:00,36.3,997,95,4.0,330,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-06 23:00:00-08:00,36.01,997,95,1.99,72,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 00:00:00-08:00,35.98,996,94,8.99,330,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 01:00:00-08:00,35.82,997,94,18.01,320,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 02:00:00-08:00,36.55,997,92,15.01,330,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 03:00:00-08:00,36.3,997,93,6.91,330,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 04:00:00-08:00,35.8,997,92,0.0,0,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 05:00:00-08:00,35.2,998,90,4.0,43,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 06:00:00-08:00,34.3,999,90,5.75,120,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-07 07:00:00-08:00,33.94,1000,87,5.99,61,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 08:00:00-08:00,34.54,1001,78,5.99,70,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 09:00:00-08:00,35.46,1002,78,6.91,140,75,Clouds,broken clouds,04d,0.0,0.0
2022-11-07 10:00:00-08:00,35.94,1004,78,5.01,40,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 11:00:00-08:00,36.5,1005,77,5.01,54,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 12:00:00-08:00,37.4,1005,71,4.0,95,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 13:00:00-08:00,38.62,1005,68,4.0,99,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 14:00:00-08:00,38.59,1005,66,8.99,70,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 15:00:00-08:00,38.64,1005,65,5.01,80,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 16:00:00-08:00,37.83,1006,68,4.0,346,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-07 17:00:00-08:00,36.61,1007,67,5.99,340,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 18:00:00-08:00,35.94,1007,63,4.0,6,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 19:00:00-08:00,35.1,1008,65,5.01,9,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 20:00:00-08:00,33.98,1008,70,6.91,110,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 21:00:00-08:00,34.47,1009,73,5.99,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-07 22:00:00-08:00,31.78,1007,92,8.05,140,100,Snow,snow,13n,0.0,3.16
2022-11-07 23:00:00-08:00,30.33,1011,96,4.61,70,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-08 00:00:00-08:00,31.73,1012,90,2.3,0,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-08 01:00:00-08:00,31.98,1012,89,5.99,300,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-08 02:00:00-08:00,31.86,1013,88,3.0,160,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-08 03:00:00-08:00,31.46,1013,90,5.75,100,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-08 04:00:00-08:00,30.65,1013,93,2.3,100,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-08 05:00:00-08:00,31.26,1014,87,1.01,49,52,Clouds,broken clouds,04n,0.0,0.0
2022-11-08 06:00:00-08:00,30.49,1015,89,5.01,110,39,Clouds,scattered clouds,03n,0.0,0.0
2022-11-08 07:00:00-08:00,30.45,1015,90,4.0,80,44,Clouds,scattered clouds,03n,0.0,0.0
2022-11-08 08:00:00-08:00,30.92,1015,90,4.0,100,38,Clouds,scattered clouds,03d,0.0,0.0
2022-11-08 09:00:00-08:00,33.21,1016,81,4.0,100,33,Clouds,scattered clouds,03d,0.0,0.0
2022-11-08 10:00:00-08:00,35.62,1016,77,1.99,100,29,Clouds,scattered clouds,03d,0.0,0.0
2022-11-08 11:00:00-08:00,37.6,1017,69,1.99,160,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-08 12:00:00-08:00,39.67,1016,67,5.01,240,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-08 13:00:00-08:00,41.41,1016,61,4.0,213,84,Clouds,broken clouds,04d,0.0,0.0
2022-11-08 14:00:00-08:00,42.39,1015,62,5.99,265,65,Clouds,broken clouds,04d,0.0,0.0
2022-11-08 15:00:00-08:00,41.86,1015,64,10.0,290,52,Clouds,broken clouds,04d,0.0,0.0
2022-11-08 16:00:00-08:00,39.79,1014,65,11.99,320,38,Clouds,scattered clouds,03d,0.0,0.0
2022-11-08 17:00:00-08:00,36.66,1015,73,15.99,310,0,Clear,clear sky,01n,0.0,0.0
2022-11-08 18:00:00-08:00,35.35,1015,79,18.01,310,0,Clear,clear sky,01n,0.0,0.0
2022-11-08 19:00:00-08:00,34.23,1015,81,10.36,320,0,Clear,clear sky,01n,0.0,0.0
2022-11-08 20:00:00-08:00,33.01,1015,82,4.0,350,0,Clear,clear sky,01n,0.0,0.0
2022-11-08 21:00:00-08:00,32.05,1015,84,1.01,326,0,Clear,clear sky,01n,0.0,0.0
2022-11-08 22:00:00-08:00,30.94,1015,85,3.0,80,0,Clear,clear sky,01n,0.0,0.0
2022-11-08 23:00:00-08:00,30.42,1015,87,3.0,140,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 00:00:00-08:00,29.97,1015,88,1.99,190,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 01:00:00-08:00,29.64,1015,88,4.0,60,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 02:00:00-08:00,29.35,1015,88,3.0,120,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 03:00:00-08:00,28.83,1015,88,3.04,78,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 04:00:00-08:00,28.49,1015,89,3.71,91,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 05:00:00-08:00,27.95,1015,87,4.27,86,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 06:00:00-08:00,28.27,1016,87,4.03,77,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 07:00:00-08:00,28.15,1016,85,3.0,70,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 08:00:00-08:00,28.45,1017,87,3.0,68,0,Clear,clear sky,01d,0.0,0.0
2022-11-09 09:00:00-08:00,31.32,1017,82,4.0,80,1,Clear,clear sky,01d,0.0,0.0
2022-11-09 10:00:00-08:00,34.99,1017,77,5.99,100,2,Clear,clear sky,01d,0.0,0.0
2022-11-09 11:00:00-08:00,38.21,1018,67,4.0,209,5,Clear,clear sky,01d,0.0,0.0
2022-11-09 12:00:00-08:00,40.06,1018,64,3.0,213,8,Clear,clear sky,01d,0.0,0.0
2022-11-09 13:00:00-08:00,42.35,1019,60,8.01,290,9,Clear,clear sky,01d,0.0,0.0
2022-11-09 14:00:00-08:00,42.4,1019,62,5.01,270,7,Clear,clear sky,01d,0.0,0.0
2022-11-09 15:00:00-08:00,41.92,1019,65,4.0,303,6,Clear,clear sky,01d,0.0,0.0
2022-11-09 16:00:00-08:00,39.7,1020,70,4.0,248,3,Clear,clear sky,01d,0.0,0.0
2022-11-09 17:00:00-08:00,36.7,1021,79,3.0,210,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 18:00:00-08:00,34.59,1022,84,1.99,120,20,Clouds,few clouds,02n,0.0,0.0
2022-11-09 19:00:00-08:00,33.28,1022,86,3.0,355,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 20:00:00-08:00,32.54,1023,88,5.01,90,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 21:00:00-08:00,32.32,1024,89,5.01,80,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 22:00:00-08:00,32.94,1025,88,8.01,80,0,Clear,clear sky,01n,0.0,0.0
2022-11-09 23:00:00-08:00,33.75,1025,86,8.01,70,2,Clear,clear sky,01n,0.0,0.0
2022-11-10 00:00:00-08:00,34.3,1026,84,8.99,70,3,Clear,clear sky,01n,0.0,0.0
2022-11-10 01:00:00-08:00,34.83,1026,84,8.99,60,7,Clear,clear sky,01n,0.0,0.0
2022-11-10 02:00:00-08:00,35.11,1027,85,8.01,80,27,Clouds,scattered clouds,03n,0.0,0.0
2022-11-10 03:00:00-08:00,35.08,1027,84,6.91,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 04:00:00-08:00,35.4,1027,84,5.99,90,49,Clouds,scattered clouds,03n,0.0,0.0
2022-11-10 05:00:00-08:00,35.24,1027,84,5.99,100,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 06:00:00-08:00,35.33,1027,84,8.99,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 07:00:00-08:00,35.56,1028,84,5.99,80,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 08:00:00-08:00,35.96,1028,85,4.0,60,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 09:00:00-08:00,36.57,1029,84,5.01,100,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 10:00:00-08:00,37.51,1029,82,5.99,90,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 11:00:00-08:00,38.52,1029,80,8.99,100,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 12:00:00-08:00,39.24,1029,78,8.01,90,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 13:00:00-08:00,39.76,1028,78,8.01,70,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 14:00:00-08:00,40.51,1028,75,8.01,70,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 15:00:00-08:00,41.11,1027,73,10.0,90,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 16:00:00-08:00,40.42,1027,75,8.01,100,100,Clouds,overcast clouds,04d,0.0,0.0
2022-11-10 17:00:00-08:00,39.61,1027,80,8.01,110,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 18:00:00-08:00,38.98,1027,81,5.99,100,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 19:00:00-08:00,38.48,1026,83,4.0,329,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 20:00:00-08:00,38.25,1026,82,5.01,60,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 21:00:00-08:00,37.87,1026,83,8.01,60,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 22:00:00-08:00,36.88,1025,85,8.01,100,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-10 23:00:00-08:00,35.58,1025,87,5.99,90,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-11 00:00:00-08:00,35.38,1024,87,4.61,100,40,Clouds,scattered clouds,03n,0.0,0.0
2022-11-11 01:00:00-08:00,35.82,1024,86,6.91,100,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-11 02:00:00-08:00,36.0,1024,86,8.99,110,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-11 03:00:00-08:00,35.8,1023,86,1.01,123,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-11 04:00:00-08:00,36.36,1023,86,1.01,165,75,Clouds,broken clouds,04n,0.0,0.0
2022-11-11 05:00:00-08:00,36.55,1022,84,3.11,32,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-11 06:00:00-08:00,36.43,1022,84,3.0,43,100,Clouds,overcast clouds,04n,0.0,0.0
2022-11-11 07:00:00-08:00,36.63,1022,84,5.01,110,100,Clouds,overcast clouds,04n,0.0,0.0
